Crimes and Clearances by Offense Type,,,,,
Current date: 12/3/2011 6:01:00 PM (Central Standard Time),,,,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)",
,Offense Type,Drug/Narcotic Violations,Drug/Narcotic Violations,Drug/Narcotic Violations,
Jurisdiction,Incident Date,,,,
,2003,224,"41,406",5.41,
,2004,257,"42,139",6.1,
,2005,215,"43,228",4.97,
,2006,192,"44,363",4.33,
,2007,234,"45,346",5.16,
,2008,234,"46,445",5.04,
,2009,222,"46,725",4.75,
,2010,234,"48,556",4.82,
McMinn,2001,288,"49,786",5.78,
,2002,329,"50,052",6.57,
,2003,409,"50,278",8.13,
,2004,336,"50,498",6.65,
,2005,363,"51,092",7.1,
,2006,446,"51,753",8.62,
,2007,413,"52,115",7.92,
,2008,447,"52,511",8.51,
,2009,634,"52,739",12.02,
,2010,440,"52,266",8.42,
Meigs,2001,7,"11,227",0.62,
,2002,12,"11,249",1.07,
,2003,43,"11,243",3.82,
,2004,56,"11,381",4.92,
,2005,36,"11,426",3.15,
,2006,48,"11,565",4.15,
,2007,73,"11,704",6.24,
,2008,41,"11,790",3.48,
,2009,94,"12,108",7.76,
,2010,93,"11,753",7.91,
Monroe,2001,124,"39,567",3.13,
,2002,127,"40,234",3.16,
,2003,174,"40,873",4.26,
,2004,234,"41,871",5.59,
,2005,280,"42,877",6.53,
,2006,225,"43,820",5.13,
,2007,244,"44,815",5.44,
,2008,218,"45,648",4.78,
,2009,167,"45,830",3.64,
,2010,120,"44,519",2.7,
Morgan,2001,47,"19,964",2.35,
,2002,46,"19,994",2.3,
,2003,55,"20,063",2.74,
,2004,25,"20,020",1.25,
,2005,35,"19,275",1.82,
,2006,29,"19,306",1.5,
,2007,51,"19,585",2.6,
,2008,70,"20,404",3.43,
,2009,27,"18,738",1.44,
,2010,58,"21,987",2.64,
Overton,2001,114,"20,181",5.65,
,2002,82,"20,210",4.06,
,2003,73,"20,060",3.64,
,2004,51,"20,358",2.51,
,2005,59,"20,440",2.89,
,2006,85,"20,718",4.1,
,2007,119,"20,943",5.68,
,2008,100,"20,975",4.77,
,2009,127,"21,060",6.03,
,2010,149,"22,083",6.75,
Pickett,2001,16,"4,961",3.23,
,2002,8,"5,019",1.59,
,2003,2,"4,916",0.41,
,2004,6,"4,836",1.24,
,2005,7,"4,811",1.45,
,2006,2,"4,803",0.42,
,2007,1,"4,791",0.21,
,2008,0,"4,801",,
,2009,0,"4,783",,
,2010,14,"5,077",2.76,
Polk,2001,101,"16,218",6.23,
,2002,99,"16,007",6.18,
,2003,161,"15,967",10.08,
,2004,209,"15,777",13.25,
,2005,145,"15,749",9.21,
,2006,179,"15,780",11.34,
,2007,246,"15,726",15.64,
,2008,189,"15,671",12.06,
,2009,201,"15,648",12.85,
,2010,166,"16,825",9.87,
Rhea,2001,155,"28,578",5.42,
,2002,121,"28,829",4.2,
,2003,167,"29,178",5.72,
,2004,133,"29,358",4.53,
,2005,164,"29,764",5.51,
,2006,155,"30,249",5.12,
,2007,204,"30,565",6.67,
,2008,232,"30,781",7.54,
,2009,237,"31,516",7.52,
,2010,248,"31,809",7.8,
Roane,2001,362,"52,044",6.96,
,2002,430,"52,094",8.25,
,2003,386,"52,404",7.37,
,2004,526,"52,624",10,
,2005,482,"52,556",9.17,
,2006,295,"53,084",5.56,
,2007,278,"53,309",5.21,
,2008,341,"53,430",6.38,
,2009,257,"53,508",4.8,
,2010,295,"54,181",5.44,
Scott,2001,157,"21,450",7.32,
,2002,191,"21,532",8.87,
,2003,219,"21,460",10.21,
,2004,212,"21,546",9.84,
,2005,163,"21,681",7.52,
,2006,165,"21,820",7.56,
,2007,154,"21,948",7.02,
,2008,221,"22,039",10.03,
,2009,234,"21,866",10.7,
,2010,173,"22,228",7.78,
Sevier,2001,385,"73,218",5.26,
,2002,373,"74,398",5.01,
,2003,392,"75,636",5.18,
,2004,419,"77,311",5.42,
,2005,358,"79,607",4.5,
,2006,359,"82,075",4.37,
,2007,431,"83,952",5.13,
,2008,546,"84,835",6.44,
,2009,497,"86,243",5.76,
,2010,495,"89,889",5.51,
Sullivan,2001,642,"152,421",4.21,
,2002,561,"152,605",3.68,
,2003,578,"152,392",3.79,
,2004,637,"151,601",4.2,
,2005,774,"151,974",5.09,
,2006,821,"152,505",5.38,
,2007,927,"153,500",6.04,
,2008,"1,023","153,900",6.65,
,2009,852,"154,552",5.51,
,2010,874,"156,823",5.57,
Unicoi,2001,32,"17,559",1.82,
,2002,60,"17,612",3.41,
,2003,83,"17,687",4.69,
,2004,90,"17,633",5.1,
,2005,76,"17,558",4.33,
,2006,204,"17,693",11.53,
,2007,193,"17,702",10.9,
,2008,142,"17,718",8.01,
,2009,202,"17,740",11.39,
,2010,122,"18,313",6.66,
Union,2001,68,"18,283",3.72,
,2002,94,"18,402",5.11,
,2003,80,"18,581",4.31,
,2004,89,"18,570",4.79,
,2005,45,"18,637",2.41,
,2006,46,"18,787",2.45,
,2007,52,"18,931",2.75,
,2008,41,"19,008",2.16,
,2009,54,"19,164",2.82,
,2010,69,"19,109",3.61,
Washington,2001,399,"107,651",3.71,
,2002,388,"109,294",3.55,
,2003,365,"110,172",3.31,
,2004,473,"111,133",4.26,
,2005,575,"112,664",5.1,
,2006,572,"114,895",4.98,
,2007,550,"116,717",4.71,
,2008,504,"118,639",4.25,
,2009,517,"120,598",4.29,
,2010,507,"122,979",4.12,
Bedford,2001,76,"38,538",1.97,
,2002,115,"39,185",2.93,
,2003,131,"40,002",3.27,
,2004,113,"40,981",2.76,
,2005,122,"42,147",2.89,
,2006,116,"43,444",2.67,
,2007,146,"44,531",3.28,
,2008,130,"44,696",2.91,
,2009,178,"45,947",3.87,
,2010,165,"45,058",3.66,
Bledsoe,2001,27,"12,476",2.16,
,2002,33,"12,457",2.65,
,2003,30,"12,523",2.4,
,2004,37,"12,634",2.93,
,2005,31,"12,702",2.44,
,2006,17,"12,867",1.32,
,2007,30,"13,056",2.3,
,2008,18,"13,142",1.37,
,2009,15,"12,967",1.16,
,2010,35,"12,876",2.72,
Cannon,2001,33,"12,987",2.54,
,2002,56,"12,961",4.32,
,2003,74,"13,009",5.69,
,2004,73,"13,103",5.57,
,2005,81,"13,136",6.17,
,2006,80,"13,266",6.03,
,2007,63,"13,430",4.69,
,2008,76,"13,804",5.51,
,2009,63,"13,860",4.55,
,2010,66,"13,801",4.78,
Cheatham,2001,48,"36,551",1.31,
,2002,80,"36,940",2.17,
,2003,125,"37,166",3.36,
,2004,135,"37,580",3.59,
,2005,166,"38,037",4.36,
,2006,156,"38,615",4.04,
,2007,209,"39,148",5.34,
,2008,188,"39,396",4.77,
,2009,210,"39,876",5.27,
,2010,157,"39,105",4.01,
Clay,2001,20,"7,938",2.52,
,2002,41,"7,945",5.16,
,2003,78,"7,927",9.84,
,2004,83,"7,966",10.42,
,2005,23,"7,973",2.88,
,2006,28,"7,997",3.5,
,2007,58,"7,923",7.32,
