Crimes and Clearances by Offense Type,,,,,
Current date: 12/3/2011 6:01:00 PM (Central Standard Time),,,,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)",
,Offense Type,Drug/Narcotic Violations,Drug/Narcotic Violations,Drug/Narcotic Violations,
Jurisdiction,Incident Date,,,,
,2002,34,"23,050",1.48,
,2003,56,"23,066",2.43,
,2004,32,"23,377",1.37,
,2005,58,"23,365",2.48,
,2006,108,"23,518",4.59,
,2007,122,"23,784",5.13,
,2008,121,"23,841",5.08,
,2009,114,"23,805",4.79,
,2010,149,"24,690",6.03,
Houston,2001,5,"8,031",0.62,
,2002,11,"7,985",1.38,
,2003,15,"8,000",1.88,
,2004,43,"7,879",5.46,
,2005,21,"7,939",2.65,
,2006,16,"7,936",2.02,
,2007,62,"8,053",7.7,
,2008,55,"8,137",6.76,
,2009,35,"8,154",4.29,
,2010,8,"8,426",0.95,
Humphreys,2001,66,"18,038",3.66,
,2002,82,"17,935",4.57,
,2003,200,"17,902",11.17,
,2004,262,"17,842",14.68,
,2005,283,"17,904",15.81,
,2006,207,"18,098",11.44,
,2007,189,"18,258",10.35,
,2008,110,"18,149",6.06,
,2009,172,"18,274",9.41,
,2010,139,"18,538",7.5,
Lake,2001,25,"7,955",3.14,
,2002,33,"7,882",4.19,
,2003,28,"7,829",3.58,
,2004,26,"7,616",3.41,
,2005,33,"7,511",4.39,
,2006,45,"7,454",6.04,
,2007,20,"7,412",2.7,
,2008,38,"7,323",5.19,
,2009,31,"7,303",4.24,
,2010,17,"7,832",2.17,
Lauderdale,2001,100,"27,166",3.68,
,2002,73,"27,075",2.7,
,2003,63,"26,907",2.34,
,2004,65,"26,637",2.44,
,2005,88,"26,587",3.31,
,2006,127,"26,582",4.78,
,2007,95,"26,599",3.57,
,2008,91,"26,692",3.41,
,2009,96,"26,471",3.63,
,2010,63,"27,815",2.26,
Lawrence,2001,183,"39,993",4.58,
,2002,466,"40,492",11.51,
,2003,606,"40,464",14.98,
,2004,460,"40,484",11.36,
,2005,515,"40,641",12.67,
,2006,400,"40,595",9.85,
,2007,416,"40,884",10.18,
,2008,377,"40,954",9.21,
,2009,373,"41,314",9.03,
,2010,432,"41,869",10.32,
Lewis,2001,51,"11,393",4.48,
,2002,85,"11,393",7.46,
,2003,72,"11,398",6.32,
,2004,70,"11,372",6.16,
,2005,43,"11,333",3.79,
,2006,60,"11,436",5.25,
,2007,46,"11,528",3.99,
,2008,35,"11,564",3.03,
,2009,56,"11,521",4.86,
,2010,120,"12,161",9.87,
Madison,2001,671,"92,972",7.22,
,2002,672,"93,483",7.19,
,2003,562,"93,710",6,
,2004,570,"94,208",6.05,
,2005,641,"94,893",6.75,
,2006,715,"96,182",7.43,
,2007,547,"96,616",5.66,
,2008,636,"96,376",6.6,
,2009,844,"97,317",8.67,
,2010,673,"98,294",6.85,
McNairy,2001,71,"24,587",2.89,
,2002,40,"24,581",1.63,
,2003,130,"24,726",5.26,
,2004,192,"24,834",7.73,
,2005,152,"25,038",6.07,
,2006,187,"25,318",7.39,
,2007,79,"25,398",3.11,
,2008,48,"25,724",1.87,
,2009,40,"25,796",1.55,
,2010,114,"26,075",4.37,
Obion,2001,108,"32,300",3.34,
,2002,101,"32,229",3.13,
,2003,131,"32,155",4.07,
,2004,105,"32,090",3.27,
,2005,84,"31,860",2.64,
,2006,133,"31,618",4.21,
,2007,171,"31,575",5.42,
,2008,153,"31,375",4.88,
,2009,116,"31,431",3.69,
,2010,98,"31,807",3.08,
Perry,2001,7,"7,497",0.93,
,2002,8,"7,543",1.06,
,2003,18,"7,620",2.36,
,2004,18,"7,594",2.37,
,2005,11,"7,587",1.45,
,2006,16,"7,607",2.1,
,2007,48,"7,678",6.25,
,2008,11,"7,753",1.42,
,2009,11,"7,826",1.41,
,2010,28,"7,915",3.54,
Shelby,2001,"4,687","899,543",5.21,
,2002,"4,393","902,605",4.87,
,2003,"5,145","906,280",5.68,
,2004,"5,626","908,922",6.19,
,2005,"6,488","912,418",7.11,
,2006,"6,827","919,179",7.43,
,2007,"7,514","919,964",8.17,
,2008,"6,505","906,825",7.17,
,2009,"6,655","920,232",7.23,
,2010,"6,928","927,644",7.47,
Stewart,2001,31,"12,555",2.47,
,2002,11,"12,679",0.87,
,2003,18,"12,717",1.42,
,2004,27,"12,669",2.13,
,2005,33,"12,870",2.56,
,2006,25,"12,886",1.94,
,2007,40,"13,037",3.07,
,2008,41,"13,226",3.1,
,2009,41,"13,340",3.07,
,2010,27,"13,324",2.03,
Tipton,2001,168,"52,517",3.2,
,2002,324,"53,064",6.11,
,2003,390,"53,575",7.28,
,2004,314,"53,942",5.82,
,2005,403,"55,202",7.3,
,2006,440,"56,460",7.79,
,2007,439,"57,719",7.61,
,2008,408,"58,706",6.95,
,2009,382,"59,495",6.42,
,2010,417,"61,081",6.83,
Wayne,2001,41,"17,029",2.41,
,2002,38,"16,965",2.24,
,2003,72,"16,845",4.27,
,2004,82,"16,761",4.89,
,2005,89,"16,696",5.33,
,2006,127,"16,664",7.62,
,2007,172,"16,575",10.38,
,2008,171,"16,614",10.29,
,2009,219,"16,506",13.27,
,2010,72,"17,021",4.23,
Weakley,2001,146,"34,351",4.25,
,2002,145,"34,208",4.24,
,2003,144,"33,944",4.24,
,2004,273,"33,544",8.14,
,2005,198,"33,542",5.9,
,2006,144,"33,336",4.32,
,2007,175,"33,231",5.27,
,2008,143,"33,375",4.28,
,2009,148,"33,459",4.42,
,2010,212,"35,021",6.05,
