County Original Renewal/Reinstatement Duplicate Free NewResident Total
Anderson 580 309 49 13 6 957
Bedford 172 161 33 13 8 387
Benton 87 91 9 2 6 195
Bledsoe 63 44 5 4 4 120
Blount 899 505 66 30 24 1,524
Bradley 449 394 40 16 9 908
Campbell 289 151 14 9 8 471
Cannon 94 75 2 4 0 175
Carroll 147 84 17 3 0 251
Carter 272 246 18 15 7 558
Cheatham 238 226 23 12 2 501
Chester 87 78 11 1 3 180
Claiborne 202 118 12 5 2 339
Clay 34 20 4 0 0 58
Cocke 165 100 6 6 4 281
Coffee 266 172 26 9 6 479
Crockett 156 42 8 3 0 209
Cumberland 373 267 27 9 20 696
Davidson 2,445 1,472 358 109 36 4,420
Decatur 52 57 4 2 0 115
DeKalb 193 118 7 6 3 327
Dickson 296 177 38 7 8 526
Dyer 143 157 21 1 3 325
Fayette 342 226 66 10 6 650
Fentress 105 92 5 5 4 211
Franklin 167 169 14 4 2 356
Gibson 247 173 41 4 2 467
Giles 99 106 18 4 2 229
Grainger 195 118 14 9 3 339
Greene 361 287 26 13 15 702
Grundy 49 72 13 8 0 142
Hamblen 319 216 18 13 5 571
Hamilton 1,231 919 163 60 21 2,394
Hancock 29 24 0 0 5 58
Hardeman 118 70 19 5 1 213
Hardin 264 133 13 10 2 422
Hawkins 361 239 26 11 9 646
Haywood 69 50 8 2 0 129
Henderson 176 137 14 10 0 337
Henry 151 141 17 11 7 327
Hickman 118 95 9 6 0 228
Houston 51 29 5 3 1 89
Humphreys 138 100 11 3 3 255
Jackson 84 40 1 0 1 126
Jefferson 357 195 15 10 5 582
Johnson 59 31 3 1 2 96
Knox 2,557 1,329 240 73 35 4,234
Lake 19 40 0 0 0 59
Lauderdale 206 81 11 3 0 301
Lawrence 215 120 17 7 2 361
Lewis 48 52 6 0 1 107
Lincoln 164 92 9 1 2 268

Loudon 401 185 18 10 11 625
McMinn 294 247 26 12 4 583
McNairy 123 100 11 3 1 238
Macon 94 43 17 4 1 159
Madison 565 405 81 16 9 1,076
Marion 113 72 11 5 2 203
Marshall 115 87 16 3 2 223
Maury 430 307 55 12 8 812
Meigs 67 75 1 1 3 147
Monroe 275 169 14 4 11 473
Montgomery 996 360 48 37 19 1,460
Moore 23 43 1 0 0 67
Morgan 147 58 4 2 0 211
Obion 108 145 19 8 1 281
Overton 117 74 8 4 1 204
Perry 51 35 3 1 0 90
Pickett 28 13 2 2 3 48
Polk 91 55 2 8 2 158
Putnam 419 260 28 16 13 736
Rhea 157 152 10 10 4 333
Roane 353 325 12 16 4 710
Robertson 341 386 69 16 7 819
Rutherford 1,361 700 134 38 22 2,255
Scott 162 59 5 6 4 236
Sequatchie 62 62 9 3 1 137
Sevier 625 300 34 19 16 994
Shelby 5,877 2,966 579 268 32 9,722
Smith 86 79 12 1 1 179
Stewart 92 57 1 0 2 152
Sullivan 796 592 66 35 14 1,503
Sumner 738 621 162 26 25 1,572
Tipton 552 294 59 32 6 943
Trousdale 34 24 5 0 1 64
Unicoi 154 78 7 2 1 242
Union 121 93 8 5 1 228
VanBuren 29 37 1 1 1 69
Warren 190 172 17 6 6 391
Washington 618 497 81 20 15 1,231
Wayne 91 32 10 2 2 137
Weakley 136 117 21 8 3 285
White 246 119 10 5 5 385
Williamson 864 558 75 28 21 1,546
Wilson 720 525 73 26 13 1,357
Total 34,863 22,018 3,425 1,286 593 62,18
