"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:19:08 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrest Offense for A and B Arrests","Drug/Narcotic Violations","Drug/Narcotic Violations","Drug/Narcotic Violations",
"Jurisdiction","Arrest Date"
"Knox","2001","1,503","387819","3.88"
,"2002","1,574","392935","4.01"
,"2003","1,749","399091","4.38"
,"2004","2,172","403432","5.38"
,"2005","2,430","409530","5.93"
,"2006","2,805","417230","6.72"
,"2007","2,954","424716","6.96"
,"2008","2,662","430019","6.19"
,"2009","2,469","435725","5.67"
,"2010","2,377","432226","5.50"
"Loudon","2001","242","39965","6.06"
,"2002","240","40741","5.89"
,"2003","241","41406","5.82"
,"2004","289","42139","6.86"
,"2005","219","43228","5.07"
,"2006","208","44363","4.69"
,"2007","250","45346","5.51"
,"2008","247","46445","5.32"
,"2009","224","46725","4.79"
,"2010","247","48556","5.09"
"McMinn","2001","301","49786","6.05"
,"2002","333","50052","6.65"
,"2003","436","50278","8.67"
,"2004","371","50498","7.35"
,"2005","384","51092","7.52"
,"2006","449","51753","8.68"
,"2007","403","52115","7.73"
,"2008","455","52511","8.66"
,"2009","617","52739","11.70"
,"2010","442","52266","8.46"
"Meigs","2001","7","11227","0.62"
,"2002","13","11249","1.16"
,"2003","44","11243","3.91"
,"2004","62","11381","5.45"
,"2005","39","11426","3.41"
,"2006","55","11565","4.76"
,"2007","88","11704","7.52"
,"2008","57","11790","4.83"
,"2009","121","12108","9.99"
,"2010","111","11753","9.44"
"Monroe","2001","117","39567","2.96"
,"2002","129","40234","3.21"
,"2003","200","40873","4.89"
,"2004","248","41871","5.92"
,"2005","305","42877","7.11"
,"2006","254","43820","5.80"
,"2007","256","44815","5.71"
,"2008","203","45648","4.45"
,"2009","179","45830","3.91"
,"2010","130","44519","2.92"
"Morgan","2001","53","19964","2.65"
,"2002","55","19994","2.75"
,"2003","63","20063","3.14"
,"2004","30","20020","1.50"
,"2005","43","19275","2.23"
,"2006","39","19306","2.02"
,"2007","56","19585","2.86"
,"2008","70","20404","3.43"
,"2009","26","18738","1.39"
,"2010","67","21987","3.05"
"Overton","2001","112","20181","5.55"
,"2002","50","20210","2.47"
,"2003","100","20060","4.99"
,"2004","67","20358","3.29"
,"2005","61","20440","2.98"
,"2006","80","20718","3.86"
,"2007","115","20943","5.49"
,"2008","84","20975","4.00"
,"2009","135","21060","6.41"
,"2010","140","22083","6.34"
"Pickett","2001","16","4961","3.23"
,"2002","8","5019","1.59"
,"2003","2","4916","0.41"
,"2004","6","4836","1.24"
,"2005","7","4811","1.45"
,"2006","2","4803","0.42"
,"2007","1","4791","0.21"
,"2008","","4801",""
,"2009","","4783",""
,"2010","12","5077","2.36"
