Crimes and Clearances by Offense Type,,,,
Current date: 12/3/2011 5:11:38 PM (Central Standard Time),,,,
,Type of Weapon/Force Involved,Handguns,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)"
Jurisdiction,Incident Date,,,
Dyer,2005,79,"37,586",2.1
Dyer,2006,93,"37,689",2.47
Dyer,2007,68,"37,680",1.8
Dyer,2008,63,"37,600",1.68
Dyer,2009,60,"37,811",1.59
Dyer,2010,63,"38,335",1.64
Fayette,2001,56,"30,191",1.85
Fayette,2002,48,"31,016",1.55
Fayette,2003,54,"32,023",1.69
Fayette,2004,49,"33,137",1.48
Fayette,2005,46,"33,993",1.35
Fayette,2006,71,"35,877",1.98
Fayette,2007,66,"37,218",1.77
Fayette,2008,59,"38,173",1.55
Fayette,2009,59,"38,785",1.52
Fayette,2010,63,"38,413",1.64
Gibson,2001,82,"47,999",1.71
Gibson,2002,67,"47,908",1.4
Gibson,2003,73,"47,690",1.53
Gibson,2004,79,"47,792",1.65
Gibson,2005,90,"47,856",1.88
Gibson,2006,103,"48,022",2.14
Gibson,2007,98,"48,435",2.02
Gibson,2008,54,"49,257",1.1
Gibson,2009,61,"49,468",1.23
Gibson,2010,106,"49,683",2.13
Hardeman,2001,116,"28,127",4.12
Hardeman,2002,95,"28,071",3.38
Hardeman,2003,68,"27,887",2.44
Hardeman,2004,76,"27,803",2.73
Hardeman,2005,73,"27,795",2.63
Hardeman,2006,85,"27,779",3.06
Hardeman,2007,101,"27,805",3.63
Hardeman,2008,86,"27,848",3.09
Hardeman,2009,89,"27,613",3.22
Hardeman,2010,66,"27,253",2.42
Hardin,2001,19,"25,766",0.74
Hardin,2002,36,"25,811",1.39
Hardin,2003,25,"25,718",0.97
Hardin,2004,44,"25,598",1.72
Hardin,2005,40,"25,811",1.55
Hardin,2006,46,"25,990",1.77
Hardin,2007,61,"26,149",2.33
Hardin,2008,52,"26,227",1.98
Hardin,2009,57,"26,258",2.17
Hardin,2010,33,"26,026",1.27
Haywood,2001,62,"19,844",3.12
Haywood,2002,62,"19,547",3.17
Haywood,2003,37,"19,472",1.9
Haywood,2004,40,"19,590",2.04
Haywood,2005,42,"19,402",2.16
Haywood,2006,58,"19,299",3.01
Haywood,2007,60,"19,165",3.13
Haywood,2008,62,"19,024",3.26
Haywood,2009,101,"18,881",5.35
Haywood,2010,80,"18,787",4.26
Henderson,2001,41,"25,661",1.6
Henderson,2002,55,"25,767",2.13
Henderson,2003,26,"25,832",1.01
Henderson,2004,36,"25,892",1.39
Henderson,2005,32,"26,137",1.22
Henderson,2006,29,"26,523",1.09
Henderson,2007,37,"26,759",1.38
Henderson,2008,49,"26,916",1.82
Henderson,2009,50,"27,037",1.85
Henderson,2010,34,"27,769",1.22
Henry,2001,44,"31,169",1.41
Henry,2002,59,"31,258",1.89
Henry,2003,44,"31,052",1.42
Henry,2004,29,"31,077",0.93
Henry,2005,35,"31,294",1.12
Henry,2006,33,"31,399",1.05
Henry,2007,31,"31,517",0.98
Henry,2008,59,"31,770",1.86
Henry,2009,15,"31,876",0.47
Henry,2010,33,"32,330",1.02
Hickman,2001,15,"22,703",0.66
Hickman,2002,32,"23,050",1.39
Hickman,2003,38,"23,066",1.65
Hickman,2004,17,"23,377",0.73
Hickman,2005,22,"23,365",0.94
Hickman,2006,20,"23,518",0.85
Hickman,2007,24,"23,784",1.01
Hickman,2008,24,"23,841",1.01
Hickman,2009,14,"23,805",0.59
Hickman,2010,23,"24,690",0.93
Houston,2001,4,"8,031",0.5
Houston,2002,1,"7,985",0.13
Houston,2003,9,"8,000",1.13
Houston,2004,13,"7,879",1.65
Houston,2005,8,"7,939",1.01
Houston,2006,7,"7,936",0.88
Houston,2007,15,"8,053",1.86
Houston,2008,3,"8,137",0.37
Houston,2009,8,"8,154",0.98
Houston,2010,10,"8,426",1.19
Humphreys,2001,12,"18,038",0.67
Humphreys,2002,17,"17,935",0.95
Humphreys,2003,14,"17,902",0.78
Humphreys,2004,23,"17,842",1.29
Humphreys,2005,27,"17,904",1.51
Humphreys,2006,19,"18,098",1.05
Humphreys,2007,8,"18,258",0.44
Humphreys,2008,18,"18,149",0.99
Humphreys,2009,10,"18,274",0.55
Humphreys,2010,8,"18,538",0.43
Lake,2001,3,"7,955",0.38
Lake,2002,13,"7,882",1.65
Lake,2003,1,"7,829",0.13
Lake,2004,6,"7,616",0.79
Lake,2005,5,"7,511",0.67
Lake,2006,10,"7,454",1.34
Lake,2007,8,"7,412",1.08
Lake,2008,3,"7,323",0.41
Lake,2009,8,"7,303",1.1
Lake,2010,,"7,832",
Lauderdale,2001,47,"27,166",1.73
Lauderdale,2002,54,"27,075",1.99
Lauderdale,2003,49,"26,907",1.82
Lauderdale,2004,54,"26,637",2.03
Lauderdale,2005,100,"26,587",3.76
Lauderdale,2006,84,"26,582",3.16
Lauderdale,2007,91,"26,599",3.42
Lauderdale,2008,90,"26,692",3.37
Lauderdale,2009,48,"26,471",1.81
Lauderdale,2010,75,"27,815",2.7
Lawrence,2001,43,"39,993",1.08
Lawrence,2002,63,"40,492",1.56
Lawrence,2003,85,"40,464",2.1
Lawrence,2004,65,"40,484",1.61
Lawrence,2005,68,"40,641",1.67
Lawrence,2006,55,"40,595",1.35
Lawrence,2007,67,"40,884",1.64
Lawrence,2008,52,"40,954",1.27
Lawrence,2009,54,"41,314",1.31
Lawrence,2010,34,"41,869",0.81
Lewis,2001,7,"11,393",0.61
Lewis,2002,16,"11,393",1.4
Lewis,2003,5,"11,398",0.44
Lewis,2004,9,"11,372",0.79
Lewis,2005,18,"11,333",1.59
Lewis,2006,8,"11,436",0.7
Lewis,2007,12,"11,528",1.04
Lewis,2008,10,"11,564",0.86
Lewis,2009,17,"11,521",1.48
Lewis,2010,15,"12,161",1.23
Madison,2001,388,"92,972",4.17
Madison,2002,336,"93,483",3.59
Madison,2003,296,"93,710",3.16
Madison,2004,374,"94,208",3.97
Madison,2005,444,"94,893",4.68
Madison,2006,531,"96,182",5.52
Madison,2007,533,"96,616",5.52
Madison,2008,529,"96,376",5.49
Madison,2009,443,"97,317",4.55
Madison,2010,351,"98,294",3.57
McNairy,2001,10,"24,587",0.41
McNairy,2002,13,"24,581",0.53
McNairy,2003,39,"24,726",1.58
McNairy,2004,57,"24,834",2.3
McNairy,2005,34,"25,038",1.36
McNairy,2006,35,"25,318",1.38
McNairy,2007,20,"25,398",0.79
McNairy,2008,15,"25,724",0.58
McNairy,2009,30,"25,796",1.16
McNairy,2010,20,"26,075",0.77
Obion,2001,75,"32,300",2.32
Obion,2002,73,"32,229",2.27
Obion,2003,41,"32,155",1.28
Obion,2004,34,"32,090",1.06
Obion,2005,43,"31,860",1.35
Obion,2006,45,"31,618",1.42
Obion,2007,38,"31,575",1.2
Obion,2008,40,"31,375",1.27
Obion,2009,35,"31,431",1.11
Obion,2010,32,"31,807",1.01
Perry,2001,5,"7,497",0.67
Perry,2002,4,"7,543",0.53
Perry,2003,11,"7,620",1.44
Perry,2004,6,"7,594",0.79
Perry,2005,4,"7,587",0.53
Perry,2006,4,"7,607",0.53
Perry,2007,5,"7,678",0.65
Perry,2008,1,"7,753",0.13
Perry,2009,2,"7,826",0.26
Perry,2010,3,"7,915",0.38
Shelby,2001,"7,105","899,543",7.9
Shelby,2002,"7,238","902,605",8.02
Shelby,2003,"6,906","906,280",7.62
Shelby,2004,"6,538","908,922",7.19
Shelby,2005,"7,951","912,418",8.71
Shelby,2006,"7,920","919,179",8.62
Shelby,2007,"7,654","919,964",8.32
Shelby,2008,"7,598","906,825",8.38
Shelby,2009,"7,081","920,232",7.69
Shelby,2010,"5,938","927,644",6.4
Stewart,2001,7,"12,555",0.56
Stewart,2002,4,"12,679",0.32
Stewart,2003,7,"12,717",0.55
Stewart,2004,3,"12,669",0.24
Stewart,2005,14,"12,870",1.09
Stewart,2006,9,"12,886",0.7
Stewart,2007,6,"13,037",0.46
Stewart,2008,11,"13,226",0.83
Stewart,2009,15,"13,340",1.12
Stewart,2010,9,"13,324",0.68
Tipton,2001,56,"52,517",1.07
Tipton,2002,91,"53,064",1.71
Tipton,2003,101,"53,575",1.89
Tipton,2004,110,"53,942",2.04
Tipton,2005,113,"55,202",2.05
Tipton,2006,106,"56,460",1.88
Tipton,2007,113,"57,719",1.96
Tipton,2008,119,"58,706",2.03
Tipton,2009,95,"59,495",1.6
Tipton,2010,106,"61,081",1.74
Wayne,2001,11,"17,029",0.65
Wayne,2002,12,"16,965",0.71
Wayne,2003,16,"16,845",0.95
Wayne,2004,19,"16,761",1.13
Wayne,2005,16,"16,696",0.96
Wayne,2006,18,"16,664",1.08
Wayne,2007,10,"16,575",0.6
Wayne,2008,6,"16,614",0.36
Wayne,2009,6,"16,506",0.36
Wayne,2010,14,"17,021",0.82
Weakley,2001,31,"34,351",0.9
Weakley,2002,37,"34,208",1.08
Weakley,2003,54,"33,944",1.59
Weakley,2004,33,"33,544",0.98
Weakley,2005,37,"33,542",1.1
Weakley,2006,22,"33,336",0.66
Weakley,2007,25,"33,231",0.75
Weakley,2008,31,"33,375",0.93
Weakley,2009,40,"33,459",1.2
Weakley,2010,35,"35,021",1
