0500000US47011,47011,"Bradley County, Tennessee",11131,781,5155,438,5976,548,14.2,10.8,15.4,13.9,13.2,10.5,28.4,8.9,36.0,12.9,21.9,11.1,45.3,12.0,34.3,13.2,54.9,17.0,12.1,8.4,14.4,12.6,10.1,10.3,65172,797,31104,508,34068,475,8.5,1.9,9.6,2.5,7.5,2.4,12.0,2.5,10.5,3.2,13.4,3.2,33.3,3.3,34.3,4.5,32.4,4.2,22.3,3.6,22.4,4.3,22.3,4.5,6.4,1.5,4.7,1.6,7.9,2.3,10.7,2.2,11.4,3.3,10.0,2.4,6.8,1.6,7.2,2.1,6.4,2.2,79.5,2.7,80.0,3.9,79.1,3.6,17.5,2.7,18.6,3.4,16.4,3.1,11762,464,5918,308,5844,328,84.5,6.2,84.2,6.7,84.8,7.7,21.9,6.4,17.7,7.6,26.2,8.6,13719,481,6776,327,6943,301,86.4,5.2,89.2,7.5,83.7,6.6,17.5,6.0,21.4,9.3,13.7,6.3,25445,558,12354,350,13091,276,83.5,4.2,81.9,6.2,84.9,5.1,18.7,3.7,20.9,4.9,16.7,4.4,14246,409,6056,233,8190,296,61.6,6.9,61.5,9.5,61.6,7.8,11.5,6.1,11.7,7.0,11.3,6.7,25.3,6.6,21.2,9.1,28.9,8.8,15.0,4.4,10.0,4.8,19.8,6.5,14.2,4.5,13.7,5.8,14.6,6.1,3.9,3.0,0.0,3.2,7.9,5.9,25903,1241,29229,2832,22309,2030,22039,5017,21193,8437,23181,4191,21764,1556,27048,4512,18433,4946,23837,3052,26965,6097,21023,5607,42702,6749,53431,13612,35945,8087,56996,10084,60148,16975,48970,9973,3.1,,,,,
0500000US47037,47037,"Davidson County, Tennessee",73753,390,35502,292,38251,247,15.0,2.7,18.4,4.0,11.8,3.3,27.7,3.7,31.0,5.6,24.6,4.2,42.8,4.2,41.0,6.6,44.4,5.2,14.5,2.2,9.6,3.0,19.1,3.3,418090,367,198749,592,219341,609,5.0,0.6,5.2,1.0,4.8,0.7,10.7,0.9,11.3,1.2,10.1,1.1,24.4,1.3,24.5,1.8,24.3,1.4,19.5,1.0,18.1,1.6,20.7,1.3,6.0,0.7,5.8,1.0,6.2,0.9,20.6,1.1,21.0,1.6,20.2,1.3,13.9,0.9,14.1,1.2,13.7,1.1,84.3,1.1,83.6,1.5,85.0,1.2,34.5,1.3,35.1,1.8,33.9,1.5,113565,182,55973,113,57592,146,86.9,1.8,83.3,2.5,90.3,2.2,39.1,2.4,34.0,3.4,44.1,3.2,86132,620,43703,481,42429,270,85.1,2.2,84.4,3.0,85.8,3.4,36.5,2.4,34.1,3.5,38.9,3.7,151973,824,72681,594,79292,535,86.2,1.3,85.6,2.0,86.7,1.7,34.0,2.1,37.0,2.9,31.1,2.5,66420,688,26392,505,40028,617,74.7,2.8,76.9,4.4,73.2,3.1,25.2,2.7,34.0,4.3,19.4,3.0,36.7,4.0,33.6,5.3,39.6,5.1,16.5,2.4,14.4,3.4,18.4,3.4,12.2,1.9,8.3,1.9,15.3,2.8,6.1,1.2,6.3,1.5,5.9,1.5,30825,688,32180,1200,28562,1641,15421,1896,17884,3052,12698,1577,21944,1071,23874,2258,20574,1358,30574,952,32664,2441,27066,1770,41891,1263,49122,5493,39443,3067,53131,2614,61618,3736,49643,4927,4.0,,,,,
0500000US47059,47059,"Greene County, Tennessee",6008,435,3231,324,2777,285,28.8,11.4,31.3,19.7,25.9,18.1,41.8,12.6,49.7,19.9,32.6,17.5,25.9,7.7,16.8,12.5,36.4,12.3,3.6,3.6,2.2,3.7,5.1,6.2,48624,1228,23603,884,25021,898,9.5,2.7,10.7,3.8,8.5,2.7,13.0,2.7,11.6,3.5,14.3,4.1,38.3,4.3,40.1,6.1,36.6,4.4,17.3,2.6,19.0,4.2,15.8,3.1,4.7,1.5,4.3,2.2,5.0,1.8,9.7,2.3,8.4,3.1,11.0,2.9,7.5,2.0,5.9,2.3,9.0,2.9,77.5,3.8,77.7,5.7,77.3,4.3,17.2,2.8,14.3,3.3,19.9,3.8,7436,1021,4125,777,3311,477,88.4,8.2,82.2,13.4,96.2,4.6,22.8,8.1,15.2,8.9,32.3,11.5,8717,788,4237,609,4480,475,77.6,9.6,80.8,12.2,74.6,12.5,19.6,9.1,18.1,11.0,21.0,9.9,20709,1053,10004,661,10705,765,83.6,4.8,81.6,7.5,85.4,4.5,18.1,4.3,15.4,5.3,20.6,5.9,11762,1314,5237,593,6525,916,59.6,7.5,64.0,11.2,56.1,8.8,10.2,3.6,8.2,5.2,11.8,5.3,51.6,11.9,53.5,14.9,49.9,12.9,16.8,6.8,17.6,9.1,15.9,7.4,13.1,5.8,10.5,6.7,15.9,7.3,5.8,5.2,4.4,3.6,6.8,8.1,27296,2731,30902,1773,25032,2781,14296,3878,14468,5911,12273,11311,21471,2690,30267,10117,18563,2838,27896,3735,30587,4513,25621,5480,37877,5869,51330,24436,35304,6022,42227,4154,57873,33656,42019,2928,5.2,,,,,
0500000US47065,47065,"Hamilton County, Tennessee",32751,806,15797,314,16954,726,20.0,4.7,29.3,7.8,11.4,4.7,31.0,5.7,30.6,7.1,31.4,8.1,44.0,5.6,37.8,7.6,49.7,7.8,5.0,2.2,2.4,1.7,7.5,3.4,232024,949,108867,892,123157,768,5.1,0.9,5.3,1.4,5.0,1.1,9.5,1.1,9.6,1.5,9.4,1.3,28.4,1.9,27.7,2.4,28.9,2.4,22.8,1.5,23.4,2.0,22.3,2.0,7.4,0.9,5.8,1.1,8.9,1.4,17.1,1.4,18.4,2.0,16.0,1.4,9.6,1.1,9.7,1.2,9.5,1.5,85.4,1.4,85.0,2.0,85.6,1.7,26.7,1.6,28.1,2.0,25.5,1.8,44844,1305,22458,1059,22386,801,86.7,3.3,84.8,5.2,88.6,3.7,32.5,4.5,29.3,5.3,35.7,6.0,43465,951,21543,847,21922,836,89.7,2.5,87.2,4.1,92.2,3.1,28.3,3.7,27.9,4.8,28.7,4.8,93561,1140,44379,567,49182,804,87.1,2.3,86.4,3.2,87.7,2.5,26.9,2.5,28.0,3.3,25.9,2.9,50154,475,20487,411,29667,425,77.2,2.9,80.1,4.4,75.2,3.4,19.9,2.9,27.2,4.0,14.9,3.1,24.8,4.6,24.4,7.9,25.1,4.8,13.0,2.5,11.5,3.1,14.2,3.1,10.0,2.3,6.9,2.4,12.7,3.4,3.1,1.2,3.0,1.7,3.1,1.5,31396,947,37389,2655,25735,2479,18144,2899,21707,2631,11682,4332,24729,3710,30813,3212,16913,2129,30991,1051,36316,4078,26141,3801,42271,2562,55909,6160,34685,3327,60961,2745,71180,8489,49405,6769,3.7,,,,,
0500000US47093,47093,"Knox County, Tennessee",50525,849,25341,616,25184,473,14.4,2.8,14.2,4.1,14.5,4.1,24.4,4.4,25.8,6.7,23.0,4.4,51.1,5.4,51.4,8.2,50.8,6.5,10.1,2.4,8.5,3.1,11.7,3.4,288094,849,136437,664,151657,544,4.1,0.8,4.2,0.8,4.0,0.9,7.3,0.9,7.6,1.3,7.0,1.1,25.9,1.3,25.4,1.9,26.4,1.7,20.9,1.3,19.7,1.7,22.0,1.8,7.7,0.9,7.7,1.5,7.7,1.2,20.9,1.3,21.9,2.0,20.0,1.7,13.3,1.2,13.6,1.6,13.0,1.5,88.6,1.2,88.2,1.4,89.0,1.5,34.2,1.7,35.5,2.5,33.0,2.0,59510,1246,29046,938,30464,875,93.0,1.6,93.7,2.5,92.4,2.5,41.5,3.7,37.6,6.1,45.3,5.3,56553,837,28036,745,28517,669,92.0,2.0,89.9,3.6,94.2,2.0,41.6,3.7,39.2,5.0,44.0,5.1,114796,989,55357,711,59439,697,89.8,1.9,88.8,2.4,90.7,2.3,31.9,2.3,34.6,3.1,29.4,2.9,57235,443,23998,294,33237,377,78.4,2.7,78.2,3.5,78.6,3.4,23.6,2.9,30.6,4.2,18.6,3.2,26.5,5.0,23.2,6.7,29.6,5.6,9.4,2.0,9.2,2.5,9.6,2.4,8.6,1.7,7.7,2.7,9.2,2.5,3.3,1.0,3.8,1.5,2.8,1.1,33425,1488,40848,1761,28918,1362,17084,2719,21646,4378,13658,2546,25302,1213,29501,3500,22347,1858,30271,1162,33425,2923,28011,1217,43700,2034,54491,5597,39310,3002,54767,5741,74611,7585,46453,3558,3.1,,,,,
0500000US47113,47113,"Madison County, Tennessee",11379,563,5590,566,5789,60,15.2,6.0,22.6,11.6,8.1,7.7,26.9,8.7,37.8,14.9,16.4,7.6,53.2,9.7,38.8,15.6,67.2,13.2,4.7,3.9,0.9,1.7,8.3,7.6,63425,563,29130,556,34295,436,4.5,1.4,4.7,1.9,4.4,1.9,9.1,2.4,9.3,3.4,8.9,2.6,36.9,3.3,36.2,4.3,37.5,4.7,20.8,2.3,22.6,3.9,19.3,2.9,5.1,1.4,2.7,1.3,7.2,2.3,14.0,2.1,13.6,3.2,14.4,2.8,9.5,1.8,10.9,2.6,8.3,2.6,86.4,2.6,86.0,3.9,86.7,3.2,23.5,2.8,24.5,3.3,22.7,3.6,12372,782,5574,564,6798,525,91.2,6.9,86.5,9.6,95.1,5.6,28.2,6.9,28.5,9.3,28.1,8.0,11845,248,5685,288,6160,104,90.1,6.9,91.5,11.8,88.9,7.5,23.8,6.3,26.7,8.1,21.1,8.2,26317,343,12482,326,13835,254,87.7,3.5,86.3,4.9,89.0,4.2,23.7,4.6,23.9,5.4,23.5,6.4,12891,2,5389,2,7502,287,75.5,7.0,79.1,9.4,72.8,7.9,18.4,5.5,19.6,8.1,17.6,7.2,24.9,9.1,17.6,13.1,31.2,11.5,18.2,4.9,10.0,4.5,25.0,7.5,11.8,5.5,13.0,6.1,10.9,6.5,1.2,1.1,1.6,2.1,0.9,1.2,30537,1448,36315,4872,27994,1602,15418,2253,20698,4109,12159,2939,26428,2516,27372,6720,25530,2952,31067,4083,36979,4294,27586,4732,40594,6405,45349,17031,36336,6540,52007,5280,80888,38894,47868,5970,5.6,,,,,
0500000US47119,47119,"Maury County, Tennessee",7362,899,3918,782,3444,515,23.0,9.8,33.5,14.5,10.9,8.9,45.0,11.4,36.1,15.3,55.1,16.0,29.3,11.2,26.7,14.3,32.4,17.4,2.7,2.7,3.7,4.3,1.6,3.0,54119,898,24978,758,29141,286,5.4,1.6,6.1,2.5,4.8,1.8,8.9,2.4,9.3,2.9,8.7,2.9,36.1,4.2,35.7,5.5,36.4,4.7,23.3,2.9,21.2,3.7,25.2,4.3,8.0,1.9,7.5,2.8,8.5,2.8,11.4,2.1,12.9,3.0,10.2,2.6,6.7,1.9,7.4,2.8,6.2,2.3,85.7,2.8,84.7,3.8,86.5,3.6,18.2,2.7,20.3,3.7,16.4,3.0,10714,877,4788,440,5926,674,91.5,3.7,93.1,5.7,90.3,5.3,22.7,6.5,16.6,7.8,27.6,8.2,10335,794,5146,570,5189,513,87.2,5.7,81.5,9.3,92.9,6.6,22.2,6.1,25.7,7.9,18.8,8.5,22609,945,10638,518,11971,622,86.6,4.8,85.7,6.0,87.3,5.2,17.1,4.9,20.0,7.3,14.6,4.7,10461,474,4406,244,6055,347,76.1,7.9,76.5,11.2,75.8,9.3,11.8,5.3,18.8,8.9,6.8,4.3,23.3,8.5,23.1,12.1,23.4,9.9,12.8,4.6,7.0,3.8,17.6,7.0,6.7,3.4,11.4,5.9,3.4,3.8,3.3,2.6,5.0,4.6,1.5,2.5,30923,1741,41036,3285,25052,4822,19219,7215,14531,19357,19667,6921,24114,4551,32130,4720,19071,5633,30611,2482,45479,8867,23687,6092,46083,7202,65788,20976,37798,7146,52445,12620,64340,20115,43687,7112,3.8,,,,,
0500000US47125,47125,"Montgomery County, Tennessee",21937,747,10797,533,11140,488,12.7,4.4,16.2,6.7,9.2,5.8,35.9,6.2,41.3,8.7,30.7,9.3,46.5,6.6,40.1,10.2,52.7,10.2,4.9,3.0,2.4,2.8,7.4,5.3,103290,696,50080,630,53210,568,4.0,1.2,5.6,2.3,2.5,0.9,6.3,1.4,6.8,2.1,5.9,1.8,34.0,2.5,33.8,3.3,34.2,3.2,26.6,2.4,29.3,3.2,24.0,3.5,7.0,1.3,5.6,1.8,8.3,2.1,15.0,2.1,12.7,2.6,17.2,2.5,7.0,1.3,6.1,1.7,8.0,1.7,89.7,1.9,87.6,3.3,91.7,2.0,22.1,2.3,18.8,2.9,25.1,2.8,29129,911,14735,692,14394,506,90.9,3.8,85.6,6.8,96.3,2.9,20.6,4.3,17.1,6.0,24.1,5.1,23380,699,11485,504,11895,371,94.9,3.2,95.3,3.6,94.5,4.0,27.8,5.2,14.5,6.0,40.7,7.3,36833,842,17662,576,19171,506,89.8,2.7,88.1,5.3,91.4,2.9,21.9,3.5,22.5,5.2,21.3,4.3,13948,546,6198,513,7750,229,78.2,5.3,76.5,8.8,79.6,5.6,15.9,4.4,20.0,7.1,12.5,4.6,24.0,8.0,24.2,11.6,23.8,11.5,13.4,3.7,13.3,4.9,13.5,4.6,15.2,3.7,9.2,5.0,21.1,5.3,4.4,2.0,0.4,0.6,7.2,3.3,31750,1803,37858,3826,26208,1421,16944,4737,24539,13041,12734,13727,24731,2648,28325,6602,22583,2792,32831,3628,45287,4571,24155,3042,36841,2490,43978,7450,35427,5029,51752,5396,61868,18912,47715,6661,5.7,,,,,
0500000US47141,47141,"Putnam County, Tennessee",10557,682,5723,630,4834,429,4.5,3.2,3.5,3.6,5.6,5.3,34.6,8.7,33.1,14.6,36.3,14.8,53.7,10.3,55.4,12.7,51.7,14.9,7.3,4.7,8.0,8.5,6.3,6.3,46646,769,22146,626,24500,542,6.9,1.9,4.7,2.5,8.9,3.0,8.4,2.2,7.2,2.8,9.4,3.3,36.2,3.7,40.4,5.2,32.4,5.2,21.2,3.1,21.3,4.5,21.0,4.4,4.5,1.2,3.8,2.0,5.1,1.9,14.0,2.7,14.4,3.4,13.7,3.2,8.9,2.2,8.2,2.8,9.5,2.8,84.7,2.8,88.1,3.8,81.6,4.2,22.9,3.3,22.6,3.6,23.2,4.2,9141,550,4780,410,4361,385,95.2,3.1,94.0,4.9,96.6,4.1,23.1,7.2,14.3,8.5,32.7,10.6,8644,475,4438,347,4206,245,92.1,4.5,91.2,6.9,93.1,6.2,21.1,7.4,21.1,9.0,21.1,9.6,17968,584,8104,108,9864,544,84.6,5.0,86.5,5.9,83.1,7.7,20.5,4.5,17.4,5.6,23.2,6.4,10893,432,4824,448,6069,230,70.1,6.1,82.2,8.8,60.6,9.6,28.1,6.4,41.1,9.8,17.7,6.9,31.4,10.9,28.0,15.0,33.4,12.9,16.8,4.1,17.4,5.0,16.2,6.7,14.1,6.1,9.0,7.3,18.5,8.7,3.3,2.5,5.0,5.2,1.9,1.8,26403,1569,28589,3620,24340,3963,16917,10608,27138,14513,12813,5618,25412,3994,25754,3846,25021,9771,22724,7375,31561,10342,18849,6014,36238,4030,36370,6285,36112,10538,43642,6243,61354,28548,41319,5703,5.5,,,,,
0500000US47147,47147,"Robertson County, Tennessee",5408,574,2901,293,2507,404,13.1,7.6,4.4,5.0,23.1,16.6,49.4,11.5,53.1,15.7,45.2,15.3,27.1,7.5,30.2,10.8,23.6,12.0,10.4,7.3,12.3,11.2,8.1,10.1,44071,378,21706,754,22365,686,4.2,1.5,4.1,2.1,4.4,2.1,9.8,2.5,9.3,3.0,10.2,3.4,45.4,4.0,49.8,5.6,41.2,6.0,20.8,3.2,20.6,4.4,21.0,4.4,6.0,1.7,4.8,2.6,7.2,2.6,10.0,2.5,8.7,3.2,11.3,3.0,3.8,1.3,2.7,1.6,4.8,2.2,86.0,3.2,86.6,4.0,85.4,4.3,13.8,2.6,11.4,3.7,16.1,3.3,8000,806,4200,799,3800,204,96.1,3.2,93.7,5.5,98.6,2.4,18.3,7.0,6.9,6.5,30.9,10.6,9533,762,4666,349,4867,502,89.3,5.5,86.0,9.9,92.4,6.1,16.2,6.8,16.0,9.2,16.5,9.7,18419,538,8922,254,9497,487,84.7,4.8,87.8,4.9,81.8,6.8,12.6,4.1,12.2,5.2,13.1,4.9,8119,254,3918,241,4201,154,75.2,9.0,76.9,12.3,73.6,11.7,9.1,4.2,9.1,7.1,9.0,5.4,18.8,9.3,19.6,11.6,18.1,10.9,6.9,3.3,5.4,4.6,8.7,4.0,5.8,4.2,5.6,6.8,6.0,5.0,2.7,2.6,4.4,5.3,1.6,2.1,35128,4318,41897,4966,27424,3769,25637,10557,24901,13628,27782,22734,32015,7450,38829,8359,22710,6883,36748,6391,46703,7251,25334,5055,41889,7018,59020,30101,38179,9762,36133,13300,37962,41693,35605,14919,3.8,,,,,
0500000US47149,47149,"Rutherford County, Tennessee",32160,877,16100,608,16060,467,9.0,3.5,7.8,3.5,10.2,5.5,26.9,5.1,27.5,6.3,26.3,7.2,54.1,6.7,53.7,7.3,54.5,9.0,10.0,3.4,11.0,4.6,9.0,4.7,162796,903,78618,1115,84178,898,2.7,0.9,2.0,1.0,3.4,1.2,7.9,1.5,8.6,2.0,7.3,1.7,31.4,2.1,32.5,2.8,30.3,2.5,24.1,2.2,25.7,2.9,22.7,2.6,8.9,1.4,7.1,1.7,10.7,2.2,16.6,1.6,16.4,2.1,16.8,2.1,8.3,1.2,7.8,1.5,8.8,1.5,89.4,1.6,89.4,2.1,89.3,1.8,24.9,2.0,24.2,2.7,25.6,2.5,42058,1271,21356,1017,20702,685,92.4,2.8,91.4,4.1,93.4,2.9,27.6,4.5,21.8,6.1,33.5,5.7,40124,1253,19295,892,20829,952,89.4,2.5,87.3,3.1,91.3,3.7,26.7,4.0,24.1,5.1,29.2,5.2,58803,1197,28959,1075,29844,758,89.6,2.5,90.1,3.8,89.0,3.1,24.7,3.2,26.7,3.8,22.7,4.1,21811,525,9008,282,12803,422,82.9,4.4,86.8,5.6,80.1,5.8,17.2,4.4,22.3,6.4,13.7,5.2,23.6,7.1,13.9,7.3,32.5,9.3,14.7,3.3,16.1,5.8,13.3,3.2,8.0,2.2,8.1,3.3,7.9,2.8,3.9,1.8,1.9,1.4,5.8,2.9,34742,2107,37203,1881,31122,1445,24205,7707,30543,6704,12267,4474,27281,3195,31112,2383,25423,2107,33492,3839,36976,2591,30852,1765,40904,2186,51325,2589,35924,1655,47301,5097,54976,17127,46347,4258,3.3,,,,,
0500000US47155,47155,"Sevier County, Tennessee",7231,633,3839,383,3392,305,14.9,7.6,14.9,11.5,14.9,9.6,48.8,11.2,58.6,12.0,37.6,17.8,33.8,10.2,25.0,12.7,43.8,19.4,2.5,2.7,1.5,2.5,3.7,4.7,62878,699,30005,546,32873,348,5.6,1.6,6.6,2.5,4.6,1.8,11.9,2.3,12.5,3.0,11.4,2.7,40.3,4.0,43.1,5.2,37.8,4.8,23.1,3.1,21.1,3.8,25.0,4.1,5.3,1.7,2.5,1.6,7.9,2.9,8.0,2.1,7.8,2.9,8.2,2.9,5.8,2.3,6.5,3.0,5.2,2.2,82.5,2.6,80.9,3.5,84.0,3.3,13.8,3.2,14.3,4.0,13.4,3.6,9641,516,4527,144,5114,500,82.6,7.2,73.4,12.2,90.7,8.3,13.2,6.6,9.7,8.1,16.3,9.4,13339,684,6871,348,6468,509,93.2,3.8,91.4,5.7,95.1,4.6,16.7,8.7,13.4,9.6,20.1,10.6,26086,800,12230,534,13856,465,86.4,3.9,84.9,6.3,87.8,5.5,13.5,3.9,15.5,5.8,11.8,3.9,13812,161,6377,161,7435,287,64.8,6.5,67.3,7.6,62.7,8.6,12.0,5.8,16.0,7.9,8.6,6.5,22.8,7.0,27.7,10.6,17.2,8.7,13.1,4.8,11.0,4.9,15.2,6.9,11.4,5.2,6.5,6.0,14.6,6.8,3.3,2.8,5.3,5.1,1.2,2.3,26661,1750,31207,2012,22310,2117,15940,2886,20076,7155,13772,1238,25272,2462,28575,2663,21312,1857,30218,4391,36517,10569,24630,5357,45010,18106,49661,16554,31312,27304,44174,7432,42206,33100,44217,5171,4.7,,,,,
0500000US47157,47157,"Shelby County, Tennessee",94751,264,46971,295,47780,208,22.3,2.9,27.1,4.0,17.6,3.3,29.5,2.9,29.9,4.6,29.1,3.1,40.7,3.3,38.7,5.2,42.7,3.8,7.5,1.5,4.3,1.7,10.6,2.3,589983,264,272385,386,317598,244,4.5,0.5,4.9,0.8,4.0,0.6,9.0,0.8,10.4,1.1,7.8,0.9,28.2,1.0,30.0,1.4,26.7,1.3,23.9,1.0,21.5,1.4,26.0,1.3,6.2,0.5,5.2,0.8,7.0,0.8,17.9,0.9,17.6,1.2,18.1,1.2,10.4,0.6,10.3,0.8,10.4,0.8,86.6,1.0,84.6,1.3,88.2,1.1,28.2,1.0,27.9,1.3,28.5,1.3,129889,480,62511,408,67378,219,86.6,1.8,81.9,2.6,90.9,2.3,28.5,2.4,23.1,2.9,33.6,3.2,124985,768,59822,589,65163,339,90.1,1.8,87.8,2.7,92.1,1.8,30.8,2.2,28.6,2.8,32.8,2.6,238709,1038,111629,749,127080,636,89.2,1.4,87.1,2.1,91.1,1.4,29.4,1.7,29.9,2.1,29.0,2.2,96400,795,38423,480,57977,516,75.4,1.9,77.0,2.8,74.3,2.2,21.7,2.0,29.0,3.0,16.9,2.3,35.5,3.7,32.4,4.9,38.8,4.4,20.7,2.1,17.7,2.5,23.6,2.8,10.9,1.3,6.8,1.6,13.8,2.0,4.3,1.1,4.4,1.4,4.1,1.4,31984,639,37458,1993,28802,1527,17642,2608,20033,3270,14893,4019,24287,1487,27433,1765,21406,794,31237,986,38639,3434,26907,1339,45888,1884,56818,5759,40496,1481,58811,3425,71055,5123,51300,2644,5.6,,,,,
0500000US47163,47163,"Sullivan County, Tennessee",11549,684,5619,230,5930,707,12.9,5.8,13.6,9.1,12.2,5.6,44.4,9.3,46.6,12.5,42.3,12.6,33.7,10.1,36.8,14.9,30.8,11.7,9.0,4.5,3.0,3.0,14.7,8.2,112354,821,53145,702,59209,476,7.0,1.4,7.6,2.3,6.4,1.2,10.8,1.5,12.5,2.1,9.2,1.7,34.4,2.3,33.9,2.9,34.8,2.9,19.9,1.9,16.5,2.7,22.9,2.3,7.4,1.2,5.7,1.3,8.9,1.8,13.5,1.7,16.1,2.5,11.2,1.9,7.1,1.3,7.7,1.8,6.6,1.7,82.2,1.9,79.9,2.7,84.4,2.2,20.6,2.2,23.7,3.0,17.9,2.3,16260,691,8087,488,8173,304,89.9,5.8,88.7,7.1,91.1,8.1,22.3,5.4,21.8,7.2,22.8,6.9,20328,332,10256,298,10072,125,85.1,5.2,81.2,6.9,89.1,5.8,18.5,3.8,19.1,6.4,18.0,5.4,46483,692,22293,474,24190,478,81.8,3.2,76.6,4.7,86.5,3.7,23.4,3.8,27.1,5.0,20.0,3.9,29283,497,12509,246,16774,335,76.8,3.6,79.0,4.8,75.2,4.6,16.9,3.7,22.9,5.3,12.4,3.8,21.7,5.2,21.1,6.9,22.4,6.4,14.9,3.4,9.1,3.6,20.1,4.9,15.0,3.8,14.3,6.6,15.4,3.9,5.0,2.6,6.7,4.1,3.1,2.4,25496,2667,31322,1816,20693,1315,18914,1570,20385,1741,13708,4404,21006,1942,27781,8828,18247,1948,24143,3632,31965,3876,21082,1524,37617,8238,48528,15252,31526,7108,56045,10450,90370,34391,52765,6211,4.2,,,,,
0500000US47165,47165,"Sumner County, Tennessee",13411,1010,6498,582,6913,742,17.2,5.5,19.4,8.1,15.1,6.3,32.7,6.1,43.1,12.9,22.8,9.5,44.3,7.5,32.0,13.8,55.9,10.8,5.8,2.9,5.5,4.2,6.1,4.3,107181,1140,51011,703,56170,767,4.7,1.2,4.9,1.8,4.6,1.4,10.4,1.9,12.5,2.8,8.4,2.1,32.9,2.5,31.9,3.7,33.7,3.1,21.7,2.4,20.0,2.9,23.2,3.3,6.3,1.2,4.5,1.9,8.0,1.6,16.6,1.9,18.6,2.6,14.7,2.7,7.5,1.4,7.6,1.9,7.3,1.7,84.9,2.3,82.6,3.1,87.0,2.4,24.0,2.1,26.2,2.7,22.1,2.8,18955,978,9144,755,9811,697,88.0,6.3,88.2,7.3,87.9,7.1,21.1,4.8,14.7,4.9,27.1,7.7,22956,695,11024,442,11932,565,88.2,4.1,78.5,7.9,97.2,2.2,28.6,4.6,25.7,6.1,31.2,7.1,45016,1066,22024,695,22992,782,87.5,2.8,85.4,4.1,89.5,3.1,27.1,3.3,32.0,4.7,22.5,4.0,20254,368,8819,266,11435,242,72.4,5.1,75.0,6.8,70.5,6.7,14.7,3.8,24.3,6.4,7.3,3.5,30.3,6.8,27.3,7.7,33.9,10.5,10.4,2.6,8.5,3.2,12.1,4.1,7.4,3.2,2.9,2.2,10.6,4.8,2.0,1.5,0.4,0.6,3.8,2.9,32111,1920,38110,5241,26895,3517,17379,6044,20801,9471,15308,5400,27613,4636,34976,6577,21888,2807,30034,5067,33218,9537,27361,5640,44537,10527,66215,12466,36794,4116,55480,11609,67070,18377,48646,9568,3.2,,,,,
0500000US47179,47179,"Washington County, Tennessee",14595,847,7189,622,7406,534,16.0,6.5,22.2,11.6,9.9,7.5,31.0,6.1,26.3,8.1,35.6,11.2,40.9,9.6,39.6,11.3,42.2,12.9,12.1,5.0,11.9,7.5,12.4,6.6,83936,739,40462,480,43474,594,5.9,1.3,5.7,1.8,6.1,1.8,9.5,2.0,10.7,3.1,8.3,2.2,25.2,2.5,25.1,3.2,25.2,3.6,22.5,2.2,21.4,3.3,23.6,3.2,5.7,1.1,4.4,1.2,7.0,1.9,19.7,2.5,19.6,3.2,19.9,3.0,11.5,1.9,13.1,2.7,9.9,2.0,84.6,2.3,83.6,3.2,85.5,2.5,31.2,2.6,32.7,3.5,29.8,2.9,15537,584,7876,379,7661,393,89.7,4.3,86.8,6.6,92.6,5.1,35.7,6.7,34.8,9.2,36.7,9.8,16085,485,7859,292,8226,404,89.1,4.5,87.2,6.8,91.0,5.4,34.6,6.4,26.0,7.8,42.7,8.6,33855,584,16685,621,17170,544,86.8,2.9,86.1,4.1,87.5,3.7,31.7,4.4,35.3,5.7,28.2,5.3,18459,262,8042,153,10417,209,72.4,6.0,71.8,8.4,72.9,7.4,23.5,7.0,31.8,9.1,17.2,6.9,22.2,6.8,21.3,8.8,23.0,8.4,13.9,4.4,12.9,5.2,14.9,5.7,15.1,5.1,14.9,7.9,15.2,6.2,7.3,3.3,6.2,3.6,8.4,4.2,31443,1912,37457,5260,23692,3652,19502,3837,22387,9722,12182,8555,25171,6587,30308,4205,15414,4968,29255,3383,35088,7193,24237,5073,42071,4705,57108,12892,28806,8344,47116,3483,57472,22619,38140,8504,4.1,,,,,
