"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:10:59 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Estimated Population","Arrestee Rate (per 1,000)",
"Jurisdiction","Arrest Date"
,"2009","2,781","51722","53.77"
,"2010","2,536","51407","49.33"
"Johnson","2001","714","17671","40.41"
,"2002","672","17720","37.92"
,"2003","689","17893","38.51"
,"2004","780","17917","43.53"
,"2005","756","18031","41.93"
,"2006","740","17922","41.29"
,"2007","861","18074","47.64"
,"2008","774","18112","42.73"
,"2009","812","18006","45.10"
,"2010","900","18244","49.33"
"Knox","2001","15,984","387819","41.22"
,"2002","18,082","392935","46.02"
,"2003","19,450","399091","48.74"
,"2004","20,736","403432","51.40"
,"2005","22,959","409530","56.06"
,"2006","25,586","417230","61.32"
,"2007","26,855","424716","63.23"
,"2008","27,528","430019","64.02"
,"2009","27,483","435725","63.07"
,"2010","24,688","432226","57.12"
"Loudon","2001","2,407","39965","60.23"
,"2002","2,171","40741","53.29"
,"2003","2,163","41406","52.24"
,"2004","2,279","42139","54.08"
,"2005","2,049","43228","47.40"
,"2006","2,345","44363","52.86"
,"2007","2,488","45346","54.87"
,"2008","2,598","46445","55.94"
,"2009","2,270","46725","48.58"
,"2010","2,400","48556","49.43"
"McMinn","2001","2,887","49786","57.99"
,"2002","2,961","50052","59.16"
,"2003","3,295","50278","65.54"
,"2004","2,796","50498","55.37"
,"2005","2,977","51092","58.27"
,"2006","3,232","51753","62.45"
,"2007","3,103","52115","59.54"
,"2008","3,287","52511","62.60"
,"2009","3,477","52739","65.93"
,"2010","3,164","52266","60.54"
"Meigs","2001","408","11227","36.34"
,"2002","475","11249","42.23"
,"2003","447","11243","39.76"
,"2004","445","11381","39.10"
,"2005","317","11426","27.74"
,"2006","598","11565","51.71"
,"2007","724","11704","61.86"
,"2008","620","11790","52.59"
,"2009","688","12108","56.82"
,"2010","640","11753","54.45"
"Monroe","2001","1,584","39567","40.03"
,"2002","1,618","40234","40.21"
,"2003","1,736","40873","42.47"
,"2004","2,017","41871","48.17"
,"2005","1,990","42877","46.41"
,"2006","1,934","43820","44.14"
,"2007","1,995","44815","44.52"
,"2008","1,599","45648","35.03"
,"2009","1,521","45830","33.19"
,"2010","1,643","44519","36.91"
"Morgan","2001","511","19964","25.60"
,"2002","534","19994","26.71"
,"2003","537","20063","26.77"
,"2004","495","20020","24.73"
,"2005","555","19275","28.79"
,"2006","504","19306","26.11"
,"2007","793","19585","40.49"
,"2008","720","20404","35.29"
,"2009","276","18738","14.73"
,"2010","561","21987","25.52"
"Overton","2001","935","20181","46.33"
,"2002","608","20210","30.08"
,"2003","643","20060","32.05"
,"2004","654","20358","32.12"
,"2005","421","20440","20.60"
,"2006","629","20718","30.36"
,"2007","1,048","20943","50.04"
,"2008","787","20975","37.52"
,"2009","1,040","21060","49.38"
,"2010","890","22083","40.30"
"Pickett","2001","327","4961","65.91"
