"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:00:46 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Number of Incidents","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrestee Armed With","Firearm","Firearm","Firearm","Firearm",
"Jurisdiction","Arrest Date"
,"2004","38","34","47274","0.80"
,"2005","31","29","47889","0.65"
,"2006","24","23","49229","0.49"
,"2007","38","37","50419","0.75"
,"2008","26","24","51074","0.51"
,"2009","47","39","51722","0.91"
,"2010","37","36","51407","0.72"
"Johnson","2001","6","6","17671","0.34"
,"2002","13","13","17720","0.73"
,"2003","7","7","17893","0.39"
,"2004","4","4","17917","0.22"
,"2005","7","7","18031","0.39"
,"2006","5","5","17922","0.28"
,"2007","1","1","18074","0.06"
,"2008","6","6","18112","0.33"
,"2009","5","5","18006","0.28"
,"2010","2","2","18244","0.11"
"Knox","2001","75","73","387819","0.19"
,"2002","157","151","392935","0.40"
,"2003","157","142","399091","0.39"
,"2004","225","205","403432","0.56"
,"2005","197","184","409530","0.48"
,"2006","221","205","417230","0.53"
,"2007","235","210","424716","0.55"
,"2008","284","252","430019","0.66"
,"2009","269","248","435725","0.62"
,"2010","209","190","432226","0.48"
"Loudon","2001","18","18","39965","0.45"
,"2002","25","23","40741","0.61"
,"2003","21","20","41406","0.51"
,"2004","16","14","42139","0.38"
,"2005","24","23","43228","0.56"
,"2006","22","21","44363","0.50"
,"2007","22","21","45346","0.49"
,"2008","16","16","46445","0.34"
,"2009","19","18","46725","0.41"
,"2010","9","9","48556","0.19"
"McMinn","2001","44","43","49786","0.88"
,"2002","47","44","50052","0.94"
,"2003","52","46","50278","1.03"
,"2004","55","49","50498","1.09"
,"2005","49","46","51092","0.96"
,"2006","50","48","51753","0.97"
,"2007","54","50","52115","1.04"
,"2008","34","34","52511","0.65"
,"2009","28","26","52739","0.53"
,"2010","29","27","52266","0.55"
"Meigs","2001","3","3","11227","0.27"
,"2002","","","11249",""
,"2003","5","5","11243","0.44"
,"2004","5","5","11381","0.44"
,"2005","12","12","11426","1.05"
,"2006","21","21","11565","1.82"
,"2007","60","54","11704","5.13"
,"2008","36","35","11790","3.05"
,"2009","40","38","12108","3.30"
,"2010","14","14","11753","1.19"
"Monroe","2001","19","18","39567","0.48"
,"2002","36","34","40234","0.89"
,"2003","56","54","40873","1.37"
,"2004","34","33","41871","0.81"
,"2005","29","29","42877","0.68"
,"2006","17","16","43820","0.39"
,"2007","13","12","44815","0.29"
,"2008","8","8","45648","0.18"
,"2009","13","13","45830","0.28"
,"2010","23","22","44519","0.52"
"Morgan","2001","2","2","19964","0.10"
,"2002","4","4","19994","0.20"
,"2003","4","4","20063","0.20"
,"2004","","","20020",""
,"2005","5","5","19275","0.26"
,"2006","2","2","19306","0.10"
,"2007","3","3","19585","0.15"
,"2008","4","4","20404","0.20"
,"2009","3","3","18738","0.16"
,"2010","","","21987",""
"Overton","2001","4","4","20181","0.20"
,"2002","4","4","20210","0.20"
,"2003","4","4","20060","0.20"
,"2004","2","2","20358","0.10"
,"2005","4","2","20440","0.20"
,"2006","1","1","20718","0.05"
,"2007","3","3","20943","0.14"
,"2008","2","2","20975","0.10"
,"2009","1","1","21060","0.05"
