County,Year,Labor Force,Employed,Unemployed,Unemployment Rate
Clay,2004,"3,640","3,304",336,9.2
Clay,2005,"3,597","3,180",417,11.6
Clay,2006,"3,625","3,226",399,11
Clay,2007,"3,485","3,197",288,8.3
Clay,2008,"3,483","3,112",371,10.7
Clay,2009,"3,336","2,850",486,14.6
Clay,2010,"3,335","2,928",407,12.2
Cocke,2001,"15,508","14,311","1,197",7.7
Cocke,2002,"15,472","14,289","1,183",7.6
Cocke,2003,"15,645","14,295","1,350",8.6
Cocke,2004,"15,531","14,272","1,259",8.1
Cocke,2005,"15,950","14,718","1,232",7.7
Cocke,2006,"16,245","15,057","1,188",7.3
Cocke,2007,"16,388","15,317","1,071",6.5
Cocke,2008,"16,510","15,056","1,454",8.8
Cocke,2009,"16,629","14,322","2,307",13.9
Cocke,2010,"16,518","14,342","2,176",13.2
Coffee,2001,"24,143","23,045","1,098",4.5
Coffee,2002,"24,795","23,557","1,238",5
Coffee,2003,"25,513","24,229","1,284",5
Coffee,2004,"25,387","24,163","1,224",4.8
Coffee,2005,"25,537","24,121","1,416",5.5
Coffee,2006,"25,709","24,299","1,410",5.5
Coffee,2007,"25,641","24,428","1,213",4.7
Coffee,2008,"25,734","24,107","1,627",6.3
Coffee,2009,"25,530","22,802","2,728",10.7
Coffee,2010,"25,549","22,974","2,575",10.1
Crockett,2001,"6,728","6,340",388,5.8
Crockett,2002,"6,947","6,444",503,7.2
Crockett,2003,"6,980","6,347",633,9.1
Crockett,2004,"6,653","6,128",525,7.9
Crockett,2005,"6,473","5,966",507,7.8
Crockett,2006,"6,502","6,054",448,6.9
Crockett,2007,"6,509","6,092",417,6.4
Crockett,2008,"6,466","5,888",578,8.9
Crockett,2009,"6,518","5,668",850,13
Crockett,2010,"6,664","5,813",851,12.8
Cumberland,2001,"20,869","19,487","1,382",6.6
Cumberland,2002,"22,078","20,703","1,375",6.2
Cumberland,2003,"22,572","21,066","1,506",6.7
Cumberland,2004,"21,938","20,529","1,409",6.4
Cumberland,2005,"22,513","21,013","1,500",6.7
Cumberland,2006,"23,186","21,745","1,441",6.2
Cumberland,2007,"22,901","21,592","1,309",5.7
Cumberland,2008,"23,200","21,375","1,825",7.9
Cumberland,2009,"23,030","20,429","2,601",11.3
Cumberland,2010,"22,900","20,451","2,449",10.7
Davidson,2001,"307,102","295,912","11,190",3.6
Davidson,2002,"301,607","288,358","13,249",4.4
Davidson,2003,"301,839","287,810","14,029",4.6
Davidson,2004,"302,599","288,783","13,816",4.6
Davidson,2005,"305,809","291,946","13,863",4.5
Davidson,2006,"309,633","296,540","13,093",4.2
Davidson,2007,"320,765","307,988","12,777",4
Davidson,2008,"323,996","306,432","17,564",5.4
Davidson,2009,"322,986","294,458","28,528",8.8
Davidson,2010,"328,687","299,882","28,805",8.8
Decatur,2001,"5,530","5,133",397,7.2
Decatur,2002,"5,481","5,031",450,8.2
Decatur,2003,"5,511","5,052",459,8.3
Decatur,2004,"5,479","5,076",403,7.4
Decatur,2005,"5,465","5,038",427,7.8
Decatur,2006,"5,532","5,170",362,6.5
Decatur,2007,"5,713","5,381",332,5.8
Decatur,2008,"5,676","5,195",481,8.5
Decatur,2009,"5,702","4,944",758,13.3
Decatur,2010,"5,683","4,983",700,12.3
DeKalb,2001,"8,501","8,039",462,5.4
DeKalb,2002,"9,084","8,618",466,5.1
DeKalb,2003,"9,579","9,095",484,5.1
DeKalb,2004,"9,719","9,224",495,5.1
DeKalb,2005,"9,824","9,252",572,5.8
DeKalb,2006,"10,258","9,702",556,5.4
DeKalb,2007,"10,277","9,801",476,4.6
DeKalb,2008,"10,174","9,493",681,6.7
DeKalb,2009,"9,999","8,916","1,083",10.8
DeKalb,2010,"9,892","8,931",961,9.7
Dickson,2001,"22,246","21,249",997,4.5
Dickson,2002,"22,127","21,035","1,092",4.9
Dickson,2003,"22,417","21,280","1,137",5.1
Dickson,2004,"22,643","21,458","1,185",5.2
Dickson,2005,"22,961","21,819","1,142",5
Dickson,2006,"23,449","22,362","1,087",4.6
Dickson,2007,"23,054","22,056",998,4.3
Dickson,2008,"23,587","21,953","1,634",6.9
Dickson,2009,"23,511","20,929","2,582",11
Dickson,2010,"23,651","21,314","2,337",9.9
Dyer,2001,"17,623","16,446","1,177",6.7
Dyer,2002,"17,241","16,026","1,215",7
Dyer,2003,"17,389","16,176","1,213",7
Dyer,2004,"17,769","16,697","1,072",6
Dyer,2005,"17,450","16,379","1,071",6.1
Dyer,2006,"17,650","16,631","1,019",5.8
Dyer,2007,"17,312","16,420",892,5.2
Dyer,2008,"17,610","16,279","1,331",7.6
Dyer,2009,"17,578","15,142","2,436",13.9
Dyer,2010,"17,161","15,005","2,156",12.6
Fayette,2001,"14,586","13,785",801,5.5
Fayette,2002,"14,777","13,864",913,6.2
Fayette,2003,"15,234","14,290",944,6.2
Fayette,2004,"15,595","14,604",991,6.4
Fayette,2005,"16,164","15,065","1,099",6.8
Fayette,2006,"17,119","16,052","1,067",6.2
Fayette,2007,"17,766","16,646","1,120",6.3
Fayette,2008,"18,183","16,828","1,355",7.5
Fayette,2009,"18,202","16,201","2,001",11
Fayette,2010,"17,906","15,998","1,908",10.7
Fentress,2001,"6,755","6,153",602,8.9
Fentress,2002,"6,954","6,422",532,7.7
Fentress,2003,"7,111","6,542",569,8
Fentress,2004,"7,248","6,764",484,6.7
Fentress,2005,"7,119","6,615",504,7.1
Fentress,2006,"7,621","7,116",505,6.6
Fentress,2007,"7,738","7,231",507,6.6
Fentress,2008,"8,053","7,294",759,9.4
Fentress,2009,"7,973","6,912","1,061",13.3
Fentress,2010,"7,873","6,951",922,11.7
Franklin,2001,"19,197","18,386",811,4.2
Franklin,2002,"19,714","18,751",963,4.9
Franklin,2003,"20,287","19,235","1,052",5.2
Franklin,2004,"20,223","19,150","1,073",5.3
Franklin,2005,"20,084","18,969","1,115",5.6
Franklin,2006,"20,129","18,974","1,155",5.7
Franklin,2007,"20,006","18,981","1,025",5.1
Franklin,2008,"19,899","18,571","1,328",6.7
Franklin,2009,"19,625","17,497","2,128",10.8
Franklin,2010,"19,637","17,630","2,007",10.2
Gibson,2001,"22,661","20,883","1,778",7.8
Gibson,2002,"22,021","20,285","1,736",7.9
Gibson,2003,"21,951","20,034","1,917",8.7
Gibson,2004,"21,553","19,788","1,765",8.2
Gibson,2005,"20,908","19,128","1,780",8.5
Gibson,2006,"21,076","19,448","1,628",7.7
Gibson,2007,"20,841","19,343","1,498",7.2
Gibson,2008,"21,208","19,194","2,014",9.5
Gibson,2009,"21,571","18,423","3,148",14.6
Gibson,2010,"21,659","18,785","2,874",13.3
Giles,2001,"14,848","13,912",936,6.3
Giles,2002,"14,502","13,395","1,107",7.6
Giles,2003,"14,050","12,753","1,297",9.2
Giles,2004,"13,465","12,475",990,7.4
Giles,2005,"13,445","12,460",985,7.3
Giles,2006,"13,450","12,486",964,7.2
Giles,2007,"13,287","12,426",861,6.5
Giles,2008,"13,466","12,384","1,082",8
Giles,2009,"13,415","11,425","1,990",14.8
Giles,2010,"13,458","11,739","1,719",12.8
Grainger,2001,"9,768","9,185",583,6
