"Personal income","FIPS","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009" 
"1","47095","Lake, TN",108194 ,107959 ,117346 ,125301 ,130893 ,132671 ,141385 ,147145 ,147157 
"1","47097","Lauderdale, TN",492168 ,479483 ,507747 ,509246 ,530469 ,552969 ,579765 ,604852 ,604167 
"1","47099","Lawrence, TN",847219 ,868607 ,918239 ,924361 ,935105 ,936797 ,970365 ,1023453 ,1028617 
"1","47101","Lewis, TN",211022 ,213374 ,222109 ,232544 ,241509 ,251329 ,263096 ,275280 ,273186 
"1","47103","Lincoln, TN",708914 ,727268 ,757228 ,791441 ,847456 ,883513 ,937988 ,985231 ,992065 
"1","47105","Loudon, TN",1041380 ,1099569 ,1169254 ,1269781 ,1343117 ,1447443 ,1574280 ,1662387 ,1630140 
"1","47107","McMinn, TN",1066755 ,1090675 ,1150182 ,1200669 ,1269324 ,1330700 ,1403970 ,1420513 ,1412744 
"1","47109","McNairy, TN",541370 ,551288 ,570498 ,591086 ,614642 ,632519 ,660019 ,677001 ,671656 
"1","47111","Macon, TN",438922 ,442573 ,456700 ,498981 ,526383 ,540688 ,568470 ,583033 ,564826 
"1","47113","Madison, TN",2415165 ,2514665 ,2622166 ,2746313 ,2853079 ,2974594 ,3141853 ,3270232 ,3213652 
"1","47115","Marion, TN",619954 ,622006 ,639059 ,685872 ,727372 ,781445 ,816409 ,843610 ,834045 
"1","47117","Marshall, TN",672096 ,694107 ,680716 ,698336 ,708875 ,728687 ,757993 ,791040 ,766039 
"1","47119","Maury, TN",1858261 ,1965714 ,2095985 ,2096476 ,2123827 ,2254733 ,2309635 ,2446576 ,2395430 
"1","47121","Meigs, TN",218036 ,232482 ,246561 ,259875 ,270740 ,285540 ,299603 ,304684 ,307586 
"1","47123","Monroe, TN",735229 ,767710 ,831371 ,910937 ,967672 ,1027520 ,1083220 ,1101028 ,1080059 
"1","47125","Montgomery, TN",3419143 ,3583838 ,3904431 ,4145134 ,4770261 ,5269410 ,5636488 ,6190129 ,6294899 
"1","47127","Moore, TN",126640 ,128625 ,137903 ,148211 ,157911 ,165820 ,177633 ,189526 ,192109 
"1","47129","Morgan, TN",376500 ,376010 ,381330 ,396282 ,424714 ,445708 ,469424 ,488053 ,485851 
"1","47131","Obion, TN",818729 ,805844 ,833896 ,865313 ,911755 ,896344 ,959663 ,1017716 ,1036211 
"1","47133","Overton, TN",396167 ,405014 ,421671 ,433901 ,452989 ,469402 ,498739 ,524384 ,522519 
"1","47135","Perry, TN",166145 ,161549 ,170928 ,184683 ,193227 ,197830 ,206708 ,206825 ,203719 
"1","47137","Pickett, TN",88178 ,87965 ,91374 ,99830 ,103928 ,106706 ,115053 ,120964 ,120230 
"1","47139","Polk, TN",344231 ,342330 ,349605 ,373598 ,388484 ,397493 ,429227 ,439725 ,429825 
"1","47141","Putnam, TN",1492164 ,1540118 ,1614681 ,1699926 ,1771475 ,1871221 ,2026181 ,2133184 ,2153993 
"1","47143","Rhea, TN",569965 ,603890 ,637916 ,661254 ,678864 ,720254 ,773219 ,793755 ,795098 
"1","47145","Roane, TN",1189657 ,1252805 ,1315164 ,1402651 ,1484501 ,1567646 ,1671069 ,1757379 ,1766578 
"1","47147","Robertson, TN",1433871 ,1470711 ,1550170 ,1676512 ,1786299 ,1901610 ,1998939 ,2127176 ,2035369 
"1","47149","Rutherford, TN",5025532 ,5226102 ,5593296 ,6042873 ,6525057 ,7035126 ,7572255 ,7904371 ,7810675 
"1","47151","Scott, TN",377314 ,382397 ,388954 ,417116 ,432488 ,439040 ,473220 ,482209 ,488505 
"1","47153","Sequatchie, TN",241456 ,242866 ,257998 ,286022 ,310647 ,344272 ,366658 ,393018 ,397226 
"1","47155","Sevier, TN",1767482 ,1952253 ,2038782 ,2165338 ,2343120 ,2535060 ,2672538 ,2755231 ,2755417 
"1","47157","Shelby, TN",29824183 ,30688100 ,31504263 ,33095510 ,34129205 ,36103204 ,37635149 ,38250620 ,37312756 
"1","47159","Smith, TN",411802 ,407366 ,425282 ,452549 ,477363 ,499053 ,535164 ,558299 ,519675 
"1","47161","Stewart, TN",255782 ,260068 ,274523 ,287096 ,313239 ,329195 ,350862 ,370371 ,377466 
"1","47163","Sullivan, TN",3994319 ,4118559 ,4190814 ,4354854 ,4443694 ,4774531 ,5113346 ,5334947 ,5267213 
"1","47165","Sumner, TN",3735302 ,3768921 ,3947644 ,4240655 ,4527163 ,4883961 ,5247825 ,5426127 ,5327541 
"1","47167","Tipton, TN",1254626 ,1269284 ,1332106 ,1423752 ,1539613 ,1652397 ,1767990 ,1897291 ,1930666 
"1","47169","Trousdale, TN",157043 ,159242 ,164480 ,168698 ,177438 ,188418 ,200348 ,209209 ,204005 
"1","47171","Unicoi, TN",390175 ,394201 ,417529 ,454297 ,472528 ,490506 ,518399 ,538479 ,534259 
"1","47173","Union, TN",331166 ,342550 ,347496 ,367033 ,396825 ,418062 ,434225 ,447502 ,449338 
"1","47175","Van Buren, TN",109433 ,113204 ,118500 ,128994 ,132163 ,137187 ,137611 ,144206 ,147693 
"1","47177","Warren, TN",789717 ,802007 ,843119 ,892492 ,928023 ,969243 ,1001329 ,1054543 ,1041998 
"1","47179","Washington, TN",2705065 ,2786806 ,2884072 ,3103380 ,3237443 ,3494337 ,3771443 ,4039939 ,4026916 
"1","47181","Wayne, TN",269233 ,272811 ,279103 ,300742 ,305579 ,314774 ,340724 ,349238 ,351271 
"1","47183","Weakley, TN",747458 ,747119 ,772749 ,811526 ,861858 ,871619 ,912487 ,951363 ,970255 
"1","47185","White, TN",443226 ,451131 ,471948 ,516863 ,533250 ,540355 ,571952 ,588176 ,589000 
"1","47187","Williamson, TN",5515564 ,5689362 ,6041378 ,6742343 ,7482924 ,8473241 ,9217133 ,9610008 ,9441735 
"1","47189","Wilson, TN",2785850 ,2880195 ,3013300 ,3200445 ,3411023 ,3698909 ,3942743 ,4110947 ,4001916 
"1","16860","Chattanooga, TN-GA",13523666 ,13908180 ,14365755 ,14959298 ,15670641 ,16817784 ,17685464 ,18050073 ,17700690 
"1","17300","Clarksville, TN-KY",5595498 ,5878212 ,6343709 ,6699197 ,7569021 ,8233722 ,8673296 ,9387695 ,9484439 
